Wall time,Step,Value
1655568780.4523976,16384,145.30999755859375
1655570508.1635764,32768,145.2100067138672
1655572274.953266,49152,119.26000213623047
1655574045.6185951,65536,133.6199951171875
1655575808.8341546,81920,153.55999755859375
1655577575.0951302,98304,151.17999267578125
1655579348.862178,114688,163.58999633789062
1655581125.7807293,131072,166.94000244140625
1655582911.0220153,147456,160.69000244140625
1655585041.5115418,163840,171.38999938964844
1655586823.600161,180224,187.17999267578125
1655588613.8574946,196608,167.8000030517578
1655590406.9764233,212992,171.92999267578125
1655592206.6351528,229376,187.58999633789062
1655594016.0033343,245760,173.24000549316406
1655595814.0261602,262144,175.72000122070312
1655597618.6972833,278528,191.60000610351562
1655599428.0858135,294912,187.3800048828125
1655601231.564649,311296,183.86000061035156
1655603389.0098603,327680,187.1699981689453
1655605196.0175433,344064,184.3800048828125
1655606995.7436492,360448,188.85000610351562
1655608812.0850034,376832,180.6699981689453
1655610630.9725862,393216,181.94000244140625
1655612447.4781406,409600,194.94000244140625
1655614258.7748804,425984,193.82000732421875
1655616052.6406815,442368,180.8300018310547
1655617855.3388379,458752,185.6199951171875
1655619670.3499734,475136,189.52000427246094
1655621828.3730545,491520,188.25999450683594
1655623633.3043811,507904,188.3800048828125
1655625447.9214258,524288,195.02000427246094
1655627248.5287302,540672,183.13999938964844
1655629060.2599812,557056,191.4600067138672
1655630871.2620354,573440,178.61000061035156
1655632677.1627202,589824,189.02999877929688
1655634492.1080413,606208,187.0800018310547
1655636295.109639,622592,188.91000366210938
1655638099.0991507,638976,190.9199981689453
1655640237.8520973,655360,187.19000244140625
1655642053.6052287,671744,190.1999969482422
1655643861.6653433,688128,184.85000610351562
1655645662.4656155,704512,184.19000244140625
1655647477.6448047,720896,183.9600067138672
1655649290.043541,737280,194.52999877929688
1655651106.648699,753664,180.8300018310547
1655652923.486651,770048,189.57000732421875
1655654733.7298384,786432,187.25
1655656898.0169277,802816,187.80999755859375
1655658696.8275034,819200,190.0800018310547
1655660496.7694962,835584,188.50999450683594
1655662296.5045536,851968,192.9499969482422
1655664116.9968643,868352,195.92999267578125
1655665935.2195153,884736,197.5
1655667753.5805736,901120,191.3800048828125
1655669557.1401925,917504,193.22999572753906
1655671380.443284,933888,191.77999877929688
1655673182.7203195,950272,196.33999633789062
1655675344.1829402,966656,189.60000610351562
1655677140.4317617,983040,189.72000122070312
1655678951.6211872,999424,187.72999572753906
1655680754.650524,1015808,188.47000122070312
